 W A T E R B O D Y N A M E, C O U N T Y O R C O U N T I E S, L I S T E D F O R A Q U A T I C I N V A S I V E S P E C I E S, Y E A R L I S T E D A S I N F E S T E D, Y E A R S P E C I E S W A S F I R S T C O N F I R M E D O R C O N N E C T E D, D O W N U M B E R
Harriet,Hennepin,Eurasian watermilfoil,1995,1991,27001600
Harriet,Hennepin,zebra mussel,2017,2017,27001600
Hart,Itasca,flowering rush,2007,2010,31002000
Henchien,Kandiyohi,zebra mussel,2018,connected to Norway (34-0251),34020700
Henderson,Kandiyohi,Eurasian watermilfoil,2018,2018,34011600
Henderson,Kandiyohi,zebra mussel,2021,2021,34011600
Henry,Douglas,zebra mussel,2022,2022,21005100
Hiawatha,Hennepin,Eurasian watermilfoil,1995,1994,27001800
Hiawatha  ,Hennepin,zebra mussel,2010,connected to Minnehaha Creek,27001800
Highland,Itasca,flowering rush,2021,2021,31048100
Holland,Dakota,Eurasian watermilfoil,2009,2009,19006500
Holman,Itasca,flowering rush,2009,2008,31022700
Holt,Crow Wing,zebra mussel,2021,Connected to Smith (18002800),18002900
Hooper Creek from 500 feet upstream of State Highway 172 downstream to the Rainy River,Lake of the Woods,spiny waterflea,2007,connected to Rainy River,
Hoot,Otter Tail,zebra mussel,2017,connected to Otter Tail and East Lost,56078200
Horseshoe,St. Louis,Eurasian watermilfoil,2000,1999,69050300
Horseshoe,Stearns,Eurasian watermilfoil,2021,2021,73015700
Horseshoe,Washington,Eurasian watermilfoil,2013,2012,82007400
Horseshoe,Le Sueur,flowering rush,2014,2013,40000100
Horseshoe,Crow Wing,zebra mussel,2021,2021,18025100
Horseshoe,Stearns,zebra mussel,2018,connected by the Sauk River between Sauk (77-0150) and Becker (73-0156),73015700
Houghtaling Creek downstream of the mouth of the unnamed creek draining Artlip Lake,Lake,zebra mussel,2014,connected to Crooked (38-0024),
Howard,Wright,Eurasian watermilfoil,2004,2003,86019900
Hubert,Crow Wing,zebra mussel,2016,2016,18037500
